national_inv,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
0.0,0.0,3.0,4.0,6.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.17,0.33,0.0,0.0,0.0,0.0,1.0,0.0,1.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.72,0.0,0.0,0.0,1.0,1.0,0.0,0.0
605.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,90.0,0.0,0.0,0.0,0.94,0.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18.0,0.0,37.0,72.0,117.0,8.0,30.0,31.0,31.0,10.0,0.0,0.0,0.83,0.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,12.0,18.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.94,0.95,0.0,0.0,0.0,1.0,1.0,0.0,1.0
17.0,0.0,0.0,9.0,9.0,2.0,8.0,22.0,31.0,0.0,0.0,0.0,0.5,0.53,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,50.0,50.0,71.0,8.0,22.0,33.0,53.0,11.0,0.0,0.0,1.0,0.98,0.0,0.0,0.0,0.0,1.0,0.0,1.0
443.0,401.0,710.0,1360.0,2140.0,281.0,925.0,1599.0,2436.0,214.0,0.0,0.0,0.91,0.93,0.0,0.0,0.0,0.0,1.0,0.0,0.0
53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4.0,5.0,5.0,11.0,11.0,1.0,3.0,7.0,13.0,0.0,0.0,0.0,0.51,0.53,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18,0.33,0.0,1.0,0.0,0.0,1.0,0.0,1.0
47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,-99.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,17.0,32.0,47.0,7.0,21.0,38.0,52.0,3.0,0.0,0.0,0.74,0.38,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,24.0,36.0,48.0,0.0,5.0,14.0,23.0,0.0,0.0,0.0,0.78,0.74,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,245.0,426.0,610.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.62,0.68,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6.0,0.0,0.0,2.0,2.0,2.0,10.0,16.0,24.0,0.0,0.0,0.0,0.73,0.78,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5.0,0.0,0.0,1.0,3.0,1.0,2.0,4.0,7.0,0.0,0.0,0.0,0.91,0.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35.0,0.0,0.0,0.0,0.0,4.0,6.0,7.0,10.0,1.0,0.0,0.0,-99.0,-99.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48.0,0.0,54.0,79.0,79.0,33.0,58.0,82.0,107.0,0.0,0.0,0.0,0.98,0.95,0.0,0.0,0.0,0.0,1.0,0.0,1.0
241.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,13.0,0.0,0.0,0.0,0.88,0.88,0.0,0.0,0.0,0.0,1.0,0.0,0.0
