InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
555240,20727,LUNCH BAG  BLACK SKULL.,3,2011-06-01 13:07:00,1.65,15039,United Kingdom
570488,21739,COSY SLIPPER SHOES SMALL GREEN,2,2011-10-10 17:12:00,2.46,14096,United Kingdom
552694,22938,CUPCAKE LACE PAPER SET 6,12,2011-05-10 15:25:00,1.95,12749,United Kingdom
544667,22896,PEG BAG APPLES DESIGN,50,2011-02-22 15:10:00,2.1,17511,United Kingdom
560392,15034,PAPER POCKET TRAVELING FAN ,96,2011-07-18 13:30:00,0.14,13911,United Kingdom
536576,82615,PINK MARSHMALLOW SCARF KNITTING KIT,36,2010-12-01 16:11:00,2.55,13777,United Kingdom
581182,22203,MILK PAN RED RETROSPOT,6,2011-12-07 15:56:00,1.25,12783,Portugal
577036,23419,HOME SWEET HOME BOTTLE ,1,2011-11-17 13:21:00,2.08,17797,United Kingdom
536537,22798,ANTIQUE GLASS DRESSING TABLE POT,8,2010-12-01 13:51:00,2.95,15922,United Kingdom
537422,84030E,ENGLISH ROSE HOT WATER BOTTLE,1,2010-12-06 15:27:00,4.25,17812,United Kingdom
569460,23237,SET OF 4 KNICK KNACK TINS LEAF,12,2011-10-04 11:33:00,4.15,13895,United Kingdom
552531,21756,BATH BUILDING BLOCK WORD,6,2011-05-10 09:35:00,5.95,13742,United Kingdom
544673,22754,SMALL RED BABUSHKA NOTEBOOK ,6,2011-02-22 15:46:00,0.85,13421,United Kingdom
580963,22557,PLASTERS IN TIN VINTAGE PAISLEY ,12,2011-12-06 14:49:00,1.65,14868,United Kingdom
577228,23579,SNACK TRAY I LOVE LONDON,1,2011-11-18 12:07:00,1.95,12391,Cyprus
576897,37449,CERAMIC CAKE STAND + HANGING CAKES,2,2011-11-17 08:41:00,9.95,17828,Malta
563580,21791,VINTAGE HEADS AND TAILS CARD GAME ,2,2011-08-17 15:53:00,1.25,16706,United Kingdom
C545068,84247K,"FOLK ART GREETING CARD,pack/12",-11,2011-02-27 15:07:00,2.95,14157,United Kingdom
567853,22991,GIRAFFE WOODEN RULER,12,2011-09-22 13:31:00,1.95,15484,United Kingdom
577058,22435,SET OF 9 HEART SHAPED BALLOONS,1,2011-11-17 14:29:00,1.25,18122,United Kingdom
567462,21531,RED RETROSPOT SUGAR JAM BOWL,1,2011-09-20 12:35:00,2.55,14446,United Kingdom
538354,22524,CHILDRENS GARDEN GLOVES BLUE,10,2010-12-10 15:45:00,1.25,16873,United Kingdom
